sat_HM,sat_SM
8186290000.0,542593000.0
6272480000.0,539125000.0
2775800000.0,9257310.0
2045930000.0,19518900.0
1040580000.0,36071300.0
1484550000.0,729908.0
1448010000.0,1242790.0
2552360000.0,7788340.0
77127400000.0,17829100.0
721101000.0,419923.0
593801000.0,15940600.0
2237370000.0,517361.0
305675000.0,53307.7
217054000.0,246609.0
27785500000.0,2217730.0
58622600.0,5167480.0
85312500.0,663303.0
1510730000.0,1671140.0
19530100.0,26643.6
12383300.0,3328.9
140767000.0,3334.43
79120900.0,63341.2
2961890.0,3328.91
2588480.0,3333.37
2046060.0,6661.93
